Open;Close;High;Low;Volume;Date
75.75;77.05;77.83;75.55;;02/28/23
76.42;75.68;76.82;74.99;;02/27/23
75.63;76.32;76.62;74.1;;02/24/23
73.94;75.39;75.99;73.84;;02/23/23
76.18;73.95;76.55;73.8;;02/22/23
76.56;76.36;77.74;75.91;;02/21/23
78.02;76.55;78.27;75.05;;02/17/23
78.59;78.49;79.53;77.93;;02/16/23
78.85;78.59;79.15;77.26;;02/15/23
79.13;79.06;79.61;77.47;;02/14/23
79.87;80.14;80.61;78.45;;02/13/23
77.66;79.72;80.34;77.47;;02/10/23
78.47;78.06;78.84;76.52;;02/09/23
77.53;78.47;78.58;77.09;;02/08/23
74.5;77.14;77.6;74.34;;02/07/23
73.24;74.11;74.52;72.26;;02/06/23
75.87;73.39;78;73.1;;02/03/23
76.71;75.88;77.24;74.95;;02/02/23
79.04;76.41;79.73;76.05;;02/01/23
77.87;78.87;79.26;76.53;;01/31/23
79.74;77.9;80.48;77.66;;01/30/23
81.15;79.68;82.48;79.05;;01/27/23
80.46;81.01;82.13;79.93;;01/26/23
80.26;80.15;81.23;79.45;;01/25/23
81.56;80.13;82.23;79.66;;01/24/23
81.74;81.62;82.75;81.05;;01/23/23
0;81.64;81.9;79.91;;01/20/23
78.9;80.33;81.21;78.11;;01/19/23
80.86;79.48;82.38;78.89;;01/18/23
80.05;80.18;81.22;78.54;;01/17/23
78.29;79.86;80.12;77.98;;01/13/23
77.65;78.39;79.17;77.1;;01/12/23
74.84;77.41;77.83;74.29;;01/11/23
74.88;75.12;75.94;73.84;;01/10/23
73.59;74.63;76.73;73.51;;01/09/23
73.96;73.77;75.47;73.25;;01/06/23
73.11;73.67;74.93;72.45;;01/05/23
77.12;72.84;77.41;72.74;;01/04/23
80.47;76.93;81.5;76.62;;01/03/23
78.72;80.26;80.71;77.72;;12/30/22
78.9;78.4;78.92;76.8;;12/29/22
79.88;78.96;79.95;77.3;;12/28/22
79.88;79.53;81.18;79.15;;12/27/22
78.24;79.56;80.33;77.98;;12/23/22
78.43;77.49;79.89;77.03;;12/22/22
76.02;78.29;78.63;75.79;;12/21/22
0;76.23;76.92;74.46;;12/20/22
74.41;75.19;76.44;73.8;;12/19/22
76.5;74.29;76.57;73.32;;12/16/22
77.35;76.11;77.77;75.34;;12/15/22
75.41;77.28;77.74;74.91;;12/14/22
73.34;75.39;76.36;73.22;;12/13/22
71.75;73.17;73.98;70.25;;12/12/22
