;KPI;KPI-JAE;KPIXE;Trimmet snitt ¹;Vektet median ¹
okt.21;3,5;0,9;2,0;1,4;1,6
nov.21;5,1;1,3;2,6;1,7;1,4
des.21;5,3;1,8;3,1;2,0;1,4
jan.22;3,2;1,3;2,7;1,7;1,5
feb.22;3,7;2,1;3,5;2,4;1,7
mar.22;4,5;2,1;3,5;2,4;1,8
apr.22;5,4;2,6;3,6;2,9;2,6
mai.22;5,7;3,4;4,5;3,4;3,2
jun.22;6,3;3,6;4,8;3,9;3,6
jul.22;6,8;4,5;5,8;4,9;4,3
aug.22;6,5;4,7;5,1;5,0;4,7
sep.22;6,9;5,3;5,8;5,4;5,2
okt.22;7,5;5,9;6,5;6,0;6,0
nov.22;6,5;5,7;6,4;5,8;5,4
des.22;5,9;5,8;6,6;5,9;5,6
jan.23;7,0;6,4;8,1;6,8;7,2
feb.23;6,3;5,9;6,7;6,3;5,8
mar.23;6,5;6,2;7,0;6,2;6,0
apr.23;6,4;6,3;7,1;6,4;6,4
